text,category,priority
Where can I find the nearest store that sells Herbal Tea? I want a refund ASAP!,Miscellaneous,Low
The distributor for Vitamin C Serum has not replied to my emails for a week. I want a refund ASAP!,Trade,Medium
The Multivitamins I received was completely broken and unusable.,Product,High
"Hello, The packaging for Vitamin C Serum was completely crushed during delivery. Please fix this.",Packaging,Medium
The distributor for Vitamin C Serum has not replied to my emails for a week.,Trade,Medium
The taste of the Shampoo is awful and seems expired.,Product,High
"Hello, Do you offer bulk discounts for Shampoo? Please fix this.",Miscellaneous,Low
The packaging for Multivitamins was completely crushed during delivery.,Packaging,Medium
The seal on the Vitamin C Serum bottle was broken when I opened the box.,Packaging,High
Where can I find the nearest store that sells Vitamin C Serum?,Miscellaneous,Low
I found a foreign object inside the Energy Bar. This is unacceptable. I want a refund ASAP!,Product,High
The pricing on the invoice for Essential Oil does not match our contract.,Trade,High
Do you offer bulk discounts for Vitamin C Serum?,Miscellaneous,Low
"Hello, The taste of the Shampoo is awful and seems expired. Please fix this.",Product,High
I found a foreign object inside the Protein Powder. This is unacceptable. I want a refund ASAP!,Product,High
The Face Wash I received was completely broken and unusable.,Product,High
The Face Wash I received was completely broken and unusable.,Product,High
The label on the Face Wash is peeling off and unreadable.,Packaging,Low
Do you offer bulk discounts for Essential Oil?,Miscellaneous,Low
The pricing on the invoice for Conditioner does not match our contract.,Trade,High
I just wanted to ask if Energy Bar is vegan.,Miscellaneous,Low
Where can I find the nearest store that sells Energy Bar? I want a refund ASAP!,Miscellaneous,Low
"Hello, The pricing on the invoice for Protein Powder does not match our contract. Please fix this.",Trade,High
The taste of the Essential Oil is awful and seems expired.,Product,High
The label on the Vitamin C Serum is peeling off and unreadable.,Packaging,Low
Where can I find the nearest store that sells Conditioner?,Miscellaneous,Low
The Conditioner I received was completely broken and unusable.,Product,High
Where can I find the nearest store that sells Herbal Tea? I want a refund ASAP!,Miscellaneous,Low
"Hello, The packaging for Yoga Mat was completely crushed during delivery. Please fix this.",Packaging,Medium
The distributor for Shampoo has not replied to my emails for a week. I want a refund ASAP!,Trade,Medium
The distributor for Face Wash has not replied to my emails for a week. I want a refund ASAP!,Trade,Medium
I found a foreign object inside the Protein Powder. This is unacceptable.,Product,High
I just wanted to ask if Conditioner is vegan. I want a refund ASAP!,Miscellaneous,Low
My wholesale order of Energy Bar is missing 50 units.,Trade,High
The label on the Vitamin C Serum is peeling off and unreadable.,Packaging,Low
My wholesale order of Shampoo is missing 50 units.,Trade,High
The distributor for Energy Bar has not replied to my emails for a week.,Trade,Medium
"Hello, The label on the Conditioner is peeling off and unreadable. Please fix this.",Packaging,Low
The label on the Energy Bar is peeling off and unreadable. I want a refund ASAP!,Packaging,Low
The seal on the Energy Bar bottle was broken when I opened the box. I want a refund ASAP!,Packaging,High
"Hello, The packaging for Yoga Mat was completely crushed during delivery. Please fix this.",Packaging,Medium
I found a foreign object inside the Yoga Mat. This is unacceptable.,Product,High
The taste of the Conditioner is awful and seems expired.,Product,High
"Hello, The distributor for Vitamin C Serum has not replied to my emails for a week. Please fix this.",Trade,Medium
The seal on the Herbal Tea bottle was broken when I opened the box.,Packaging,High
"Hello, My wholesale order of Herbal Tea is missing 50 units. Please fix this.",Trade,High
"Hello, My wholesale order of Multivitamins is missing 50 units. Please fix this.",Trade,High
The seal on the Energy Bar bottle was broken when I opened the box.,Packaging,High
I just wanted to ask if Vitamin C Serum is vegan.,Miscellaneous,Low
The taste of the Protein Powder is awful and seems expired.,Product,High
The label on the Vitamin C Serum is peeling off and unreadable.,Packaging,Low
Do you offer bulk discounts for Essential Oil?,Miscellaneous,Low
The seal on the Energy Bar bottle was broken when I opened the box.,Packaging,High
The label on the Vitamin C Serum is peeling off and unreadable. I want a refund ASAP!,Packaging,Low
The taste of the Multivitamins is awful and seems expired. I want a refund ASAP!,Product,High
Do you offer bulk discounts for Energy Bar? I want a refund ASAP!,Miscellaneous,Low
Where can I find the nearest store that sells Multivitamins?,Miscellaneous,Low
"Hello, I just wanted to ask if Protein Powder is vegan. Please fix this.",Miscellaneous,Low
"Hello, I found a foreign object inside the Energy Bar. This is unacceptable. Please fix this.",Product,High
The seal on the Conditioner bottle was broken when I opened the box.,Packaging,High
The Protein Powder I received was completely broken and unusable.,Product,High
The taste of the Yoga Mat is awful and seems expired.,Product,High
The seal on the Shampoo bottle was broken when I opened the box.,Packaging,High
My wholesale order of Shampoo is missing 50 units.,Trade,High
Do you offer bulk discounts for Energy Bar?,Miscellaneous,Low
Do you offer bulk discounts for Protein Powder?,Miscellaneous,Low
"Hello, The pricing on the invoice for Multivitamins does not match our contract. Please fix this.",Trade,High
The pricing on the invoice for Multivitamins does not match our contract.,Trade,High
The distributor for Multivitamins has not replied to my emails for a week. I want a refund ASAP!,Trade,Medium
The packaging for Face Wash was completely crushed during delivery.,Packaging,Medium
"Hello, The pricing on the invoice for Yoga Mat does not match our contract. Please fix this.",Trade,High
The taste of the Protein Powder is awful and seems expired.,Product,High
The taste of the Energy Bar is awful and seems expired.,Product,High
The label on the Herbal Tea is peeling off and unreadable.,Packaging,Low
"Hello, I just wanted to ask if Vitamin C Serum is vegan. Please fix this.",Miscellaneous,Low
"Hello, The label on the Essential Oil is peeling off and unreadable. Please fix this.",Packaging,Low
The label on the Energy Bar is peeling off and unreadable.,Packaging,Low
The Herbal Tea I received was completely broken and unusable. I want a refund ASAP!,Product,High
The seal on the Shampoo bottle was broken when I opened the box.,Packaging,High
Do you offer bulk discounts for Yoga Mat? I want a refund ASAP!,Miscellaneous,Low
The seal on the Vitamin C Serum bottle was broken when I opened the box. I want a refund ASAP!,Packaging,High
"Hello, The Essential Oil I received was completely broken and unusable. Please fix this.",Product,High
The packaging for Multivitamins was completely crushed during delivery.,Packaging,Medium
My wholesale order of Shampoo is missing 50 units.,Trade,High
Do you offer bulk discounts for Essential Oil?,Miscellaneous,Low
The pricing on the invoice for Vitamin C Serum does not match our contract.,Trade,High
My wholesale order of Energy Bar is missing 50 units.,Trade,High
I just wanted to ask if Protein Powder is vegan.,Miscellaneous,Low
"Hello, I found a foreign object inside the Vitamin C Serum. This is unacceptable. Please fix this.",Product,High
My wholesale order of Multivitamins is missing 50 units.,Trade,High
The distributor for Multivitamins has not replied to my emails for a week.,Trade,Medium
The label on the Yoga Mat is peeling off and unreadable.,Packaging,Low
The taste of the Herbal Tea is awful and seems expired.,Product,High
The seal on the Conditioner bottle was broken when I opened the box. I want a refund ASAP!,Packaging,High
The pricing on the invoice for Essential Oil does not match our contract.,Trade,High
"Hello, Where can I find the nearest store that sells Herbal Tea? Please fix this.",Miscellaneous,Low
The label on the Energy Bar is peeling off and unreadable. I want a refund ASAP!,Packaging,Low
"Hello, The pricing on the invoice for Yoga Mat does not match our contract. Please fix this.",Trade,High
"Hello, The taste of the Face Wash is awful and seems expired. Please fix this.",Product,High
The label on the Face Wash is peeling off and unreadable.,Packaging,Low
The distributor for Shampoo has not replied to my emails for a week.,Trade,Medium
The distributor for Herbal Tea has not replied to my emails for a week. I want a refund ASAP!,Trade,Medium
The Conditioner I received was completely broken and unusable.,Product,High
